name,url,avatarUrl
Barbara D'Amico,https://github.com/BarbaraDAmico,https://avatars.githubusercontent.com/u/10812087?v=4
gloriaschiavi,https://github.com/gloriaschiavi,https://avatars.githubusercontent.com/u/21546219?v=4
Marco Sicbaldi,https://github.com/marcosicbaldi,https://avatars.githubusercontent.com/u/30492695?v=4
